dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos_x,classe_alvo,acertos_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct,dias_ativos_y,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal,dias_avaliados,taxa_alvo_min_dia_pct,taxa_alvo_max_dia_pct,taxa_alvo_mediana_dias_pct,dias_acima_50_pct,dias_acima_58_pct,proporcao_dias_acima_50_pct,proporcao_dias_acima_58_pct,taxa_primeira_metade_pct,taxa_segunda_metade_pct,degradacao_segunda_menos_primeira_pp,score_estabilidade,status_estabilidade
DNA_39BF79999921,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,54.5028,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,4,STOP,7,100.0,0.0,4,1,2,5,100.0,0.0,0.0,42.85714285714285,11,motor_operacional_c7_v3_1,COMPRA,4,100.0,100.0,100.0,4,4,100.0,100.0,100.0,100.0,0.0,93.71428571428572,FORTE
DNA_02DCDED28577,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,56.4437,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,3,STOP,7,100.0,0.0,3,1,1,6,100.0,0.0,0.0,57.142857142857146,11,motor_operacional_c7_v3_1,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,82.28571428571428,FORTE
DNA_E3E076C0C2A8,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,54.7384,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,4,STOP,7,100.0,0.0,4,1,1,6,100.0,0.0,0.0,42.85714285714285,10,motor_c7_dna_fluxo_v5_2,VENDA,4,100.0,100.0,100.0,4,4,100.0,100.0,100.0,100.0,0.0,93.71428571428572,FORTE
DNA_E29FF0440092,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,FRACA,61.4476,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,2,STOP,7,100.0,0.0,2,1,2,5,100.0,0.0,0.0,57.142857142857146,20,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,82.28571428571428,FORTE
DNA_8CCDCFA5D8AB,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,FRACA,51.7995,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,2,STOP,7,100.0,0.0,2,1,1,6,100.0,0.0,0.0,57.142857142857146,17,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,82.28571428571428,FORTE
DNA_B123A1E6ECF4,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,FRACA,56.4437,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,4,STOP,6,100.0,0.0,4,1,1,4,100.0,0.0,0.0,50.0,11,motor_operacional_c7_v3_1,COMPRA,4,100.0,100.0,100.0,4,4,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_8B5DFEB81691,DNA_STOP,LADO,,COMPRA,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,57.974,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0,3,2,1,6,100.0,0.0,0.0,66.66666666666667,9,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_D57518E95A6C,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,2,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,44.9766,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0,3,1,1,6,100.0,0.0,0.0,33.333333333333336,3,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,100.0,FORTE
DNA_4F2977ACA9F6,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,FRACA,59.1343,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,3,STOP,6,100.0,0.0,3,1,1,4,100.0,0.0,0.0,50.0,12,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_66AC9CFEA710,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,51.4811,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,2,STOP,6,100.0,0.0,2,1,1,5,100.0,0.0,0.0,66.66666666666667,15,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_494555258ED6,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,FRACA,57.8261,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,2,STOP,6,100.0,0.0,2,1,2,4,100.0,0.0,0.0,50.0,20,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_B21E69DBB057,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,61.8793,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,2,STOP,6,100.0,0.0,2,1,1,6,100.0,0.0,0.0,83.33333333333333,2,motor_c7_dna_fluxo_v5_2,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,61.333333333333336,MODERADA
DNA_F91142E96C6B,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,59.1343,5,0,5,0.0,0.0,0.0,-1.0,5,5.0,3,STOP,5,100.0,0.0,3,1,1,4,100.0,0.0,0.0,40.0,11,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,96.0,FORTE
DNA_48F2CF31D581,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_CAIU,FRACA,55.5776,5,0,5,0.0,0.0,0.0,-1.0,5,5.0,2,STOP,5,100.0,0.0,2,1,2,4,100.0,0.0,0.0,80.0,19,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,64.0,MODERADA
DNA_24FF85DB4724,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,44.2542,5,0,5,0.0,0.0,0.0,-1.0,5,5.0,2,STOP,5,100.0,0.0,2,1,1,4,100.0,0.0,0.0,60.0,15,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,80.0,FORTE
DNA_C933D2E4159C,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,FRACA,51.4652,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,1,1,4,100.0,0.0,0.0,75.0,9,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,68.0,MODERADA
DNA_D13CB1CF8A67,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,2,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,FRACA,51.7468,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,3,STOP,4,100.0,0.0,3,1,1,4,100.0,0.0,0.0,50.0,3,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_757C6CFC0731,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,FRACA,52.7406,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,1,2,3,100.0,0.0,0.0,50.0,12,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_B92FE778CF45,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,52.1523,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,1,1,4,100.0,0.0,0.0,75.0,12,motor_c7_dna_fluxo_v5_2,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,68.0,MODERADA
DNA_3E56B70A731F,DNA_STOP,LADO,,COMPRA,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,50.7664,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,2,1,3,100.0,0.0,0.0,75.0,13,motor_c7_dna_fluxo_v5_2,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,68.0,MODERADA
DNA_DD3F96881643,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,FRACA,51.1758,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,1,1,4,100.0,0.0,0.0,50.0,11,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_37F259E0AF51,DNA_GAIN,MOTOR,motor_operacional_c7_v3_1,,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,43.1674,4,4,0,100.0,51.009997959600085,inf,1.0,0,0.0,2,GAIN,4,100.0,0.0,2,1,2,2,100.0,0.0,0.0,50.0,21,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,88.0,FORTE
DNA_AEB3D8FA975E,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,58.4238,4,0,4,0.0,0.0,0.0,-1.0,4,4.0,2,STOP,4,100.0,0.0,2,1,1,4,100.0,0.0,0.0,75.0,10,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,68.0,MODERADA
DNA_629F4CF574CC,DNA_STOP,LADO,,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,FRACA,55.7137,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,3,STOP,3,100.0,0.0,3,2,1,3,100.0,0.0,0.0,33.333333333333336,8,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,100.0,FORTE
DNA_AAF0124FD7BD,DNA_STOP,LADO,,COMPRA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,FRACA,50.7091,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,3,STOP,3,100.0,0.0,3,2,1,3,100.0,0.0,0.0,33.333333333333336,8,motor_c7_dna_fluxo_v5_2,COMPRA,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0,100.0,FORTE
DNA_B01B2D10C0E7,DNA_STOP,LADO,,COMPRA,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,FRACA,50.7091,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,2,1,3,100.0,0.0,0.0,66.66666666666667,8,motor_c7_dna_fluxo_v5_2,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_0FC8CD8EFED0,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,FRACA,44.8917,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,1,1,3,100.0,0.0,0.0,66.66666666666667,10,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_4B7CA5C2C782,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,COMPRA,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_CAIU,FRACA,47.9307,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,1,1,3,100.0,0.0,0.0,66.66666666666667,12,motor_operacional_c7_v3_1,COMPRA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_6CBBC9B7979D,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,MODERADA,41.026,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,1,2,3,100.0,0.0,0.0,66.66666666666667,12,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_A41B4686A648,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU,FRACA,52.0998,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,1,1,2,100.0,0.0,0.0,66.66666666666667,13,motor_operacional_c7_v3_1,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
DNA_A46A006CDACD,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,52.7406,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,1,STOP,3,100.0,0.0,1,1,2,3,100.0,0.0,0.0,100.0,13,motor_operacional_c7_v3_1,COMPRA,1,100.0,100.0,100.0,1,1,100.0,100.0,100.0,100.0,0.0,48.0,FRACA
DNA_E744B5FCC88E,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,FRACA,43.3082,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,STOP,3,100.0,0.0,2,1,1,3,100.0,0.0,0.0,66.66666666666667,12,motor_c7_dna_fluxo_v5_2,VENDA,2,100.0,100.0,100.0,2,2,100.0,100.0,100.0,100.0,0.0,74.66666666666666,MODERADA
