candidate_id,rank_cientifico,gene_id,gene_key,family,source_plugin,status_elegibilidade,motivo_elegibilidade,historias_total,historias_com_gene,historias_sem_gene,gain_com_gene,stop_com_gene,gain_sem_gene,stop_sem_gene,cobertura_pct,taxa_gain_gene_pct,taxa_gain_base_pct,lift_gain,leverage,conviction,entropia_alvo,information_gain,mutual_information,odds_ratio,fisher_p,chi2,chi2_p,phi_mcc,bayes_media_pct,bayes_ic_inferior_pct,bayes_ic_superior_pct,bootstrap_media_pct,bootstrap_ic_inferior_pct,bootstrap_ic_superior_pct,bootstrap_desvio_pp,dep_n_a,dep_jaccard_a,dep_n_b,dep_jaccard_b,ant_n_a,ant_n_b,score_qualidade,score_informacao,score_significancia,score_robustez,score_evidencia,score_rede,indice_candidato_0_100,faixa_evidencia
CGENE_AF2882E0C1A4,11,GENE_E93B98B1FCDD,NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,443,385,166,277,98,287,53.5024154589,37.4717832957,31.884057971,1.17525138518,0.0298956801792,1.08936326061,0.903116172157,0.0120445344146,0.0120445344146,1.75502836514,0.000243634348168,13.6968618381,0.00021481313867,0.12861610968,37.5280898876,33.089883771,42.0724875013,37.4896162528,32.7313769752,42.2121896163,2.29094349435,63,0.143288583025,645,0.176164890521,,4,0.792253521127,0.940532081377,0.94014084507,0.853286384977,0.880868544601,0.716549295775,86.1375195618,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_9DFF6E90DF53,12,GENE_412E6AF6D530,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,143,685,67,76,197,488,17.270531401,46.8531468531,31.884057971,1.46948506039,0.0258524119583,1.28165522502,0.903116172157,0.0148072023028,0.0148072023028,2.18380977825,4.58810261708e-05,17.8338118192,2.4106132773e-05,0.146759735866,46.8965517241,38.8543617382,55.0198586364,46.8713286713,39.1608391608,55.2447552448,4.27413369324,375,0.12908315846,122,0.130930375695,19,8,0.915492957746,0.955399061033,0.955399061033,0.748435054773,0.681924882629,0.588028169014,85.6318466354,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_59A51DC88C6D,13,GENE_5D1B2FF1AAAD,NUM::MAX_DRAWDOWN_R::ZERO,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,7,821,7,0,257,564,0.845410628019,100,31.884057971,3.13636363636,0.00575859413289,inf,0.903116172157,0.014053051174,0.014053051174,inf,0.000317121425762,15.0820507142,0.000102937436846,0.134963095306,88.8888888889,63.0583352447,99.6840276469,100,100,100,0,,,,,,,0.99765258216,0.950704225352,0.941901408451,0.990219092332,0.0663145539906,0.414612676056,85.6127738654,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_717680A8751C,14,GENE_B4D9F6178DBC,NUM::TAXA_ALVO_MIN_DIA_PCT::ZERO,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,305,523,117,188,147,376,36.8357487923,38.3606557377,31.884057971,1.20312965723,0.0238570328362,1.10507246377,0.903116172157,0.00803253698044,0.00803253698044,1.59183673469,0.00256793527894,9.32609814409,0.00225912890485,0.106129183336,38.4364820847,33.0793597079,43.9363253727,38.3567213115,33.1147540984,43.606557377,2.65957334135,193,0.151746389203,456,0.157091902146,2,2,0.81514084507,0.911776212833,0.913732394366,0.833528951487,0.823943661972,0.691314553991,84.7623239437,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_5E7BAAFD25F8,15,GENE_DC92FC7FA70C,NUM::TAXA_ALVO_MIN_DIA_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,305,523,117,188,147,376,36.8357487923,38.3606557377,31.884057971,1.20312965723,0.0238570328362,1.10507246377,0.903116172157,0.00803253698044,0.00803253698044,1.59183673469,0.00256793527894,9.32609814409,0.00225912890485,0.106129183336,38.4364820847,33.0793597079,43.9363253727,38.3816393443,33.1147540984,43.6147540984,2.75836287094,89,0.137497086732,560,0.158363785314,1,3,0.81514084507,0.911776212833,0.913732394366,0.829616588419,0.823943661972,0.691314553991,84.6840766823,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_5B9C6E3A4E25,16,GENE_5E29A0A6E5E1,NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,264,564,103,161,161,403,31.884057971,39.0151515152,31.884057971,1.22365702479,0.0227368199958,1.11693221712,0.903116172157,0.00777329569069,0.00777329569069,1.60136568805,0.00305391395015,9.07496731066,0.00259132208235,0.104690522244,39.0977443609,33.3273600036,45.0234323962,38.9041666667,32.9545454545,44.3181818182,2.93968144243,374,0.151771302479,207,0.142555852481,8,7,0.825117370892,0.908059467919,0.910211267606,0.812989045383,0.794600938967,0.640258215962,83.9749608764,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_468C8B7A5E53,17,GENE_8DAABB2395AC,NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P90,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,256,572,100,156,164,408,30.9178743961,39.0625,31.884057971,1.22514204545,0.0221942169012,1.11780007432,0.903116172157,0.00752441945697,0.00752441945697,1.5947467167,0.00364503271387,8.7924986643,0.0030247167987,0.103048336908,39.1472868217,33.2881293357,45.1658367653,39.15625,33.203125,44.921875,3.13028402427,275,0.154123828129,325,0.150588293479,3,7,0.828638497653,0.904538341158,0.905516431925,0.807902973396,0.789906103286,0.655809859155,83.8688380282,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_086A79224124,18,GENE_41746574A9A1,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,149,679,65,84,199,480,17.9951690821,43.6241610738,31.884057971,1.36821232459,0.0211265140377,1.20824706694,0.903116172157,0.00965413745821,0.00965413745821,1.86647523331,0.000932887069594,11.5310351375,0.000684438931336,0.118010045924,43.7086092715,35.91347422,51.6616467747,43.5899328859,35.5704697987,51.677852349,4.1315414053,391,0.128079455566,131,0.132024173053,18,7,0.883802816901,0.925665101721,0.927816901408,0.749217527387,0.68661971831,0.601525821596,83.8028169014,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_1552FA33D884,19,GENE_4CB3A770738D,NUM::CV_TAXA_ALVO_DIARIA::ATE_P90,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,305,523,115,190,149,374,36.8357487923,37.7049180328,31.884057971,1.1825633383,0.021441573899,1.09344012204,0.903116172157,0.00649381688374,0.00649381688374,1.519251148,0.00681741147247,7.53321646958,0.00605716700578,0.0953838955152,37.7850162866,32.4497544805,43.271038624,37.7885245902,32.4590163934,43.2786885246,2.75055105966,445,0.158273179722,182,0.155107576739,8,1,0.802816901408,0.893192488263,0.896126760563,0.824334898279,0.823943661972,0.667546948357,83.454127543,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_13F21DB99098,20,GENE_030C6BDFFA9F,NUM::CV_TAXA_ALVO_DIARIA::ACIMA_P90,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,137,691,57,80,207,484,16.5458937198,41.6058394161,31.884057971,1.30491041805,0.0160855562557,1.16648550725,0.903116172157,0.00600715876045,0.00600715876045,1.66594202899,0.00901609123402,7.14401250814,0.00752146788005,0.092887213491,41.726618705,33.684351909,49.9944583044,41.5729927007,33.5766423358,49.6532846715,4.18903773455,493,0.127091759033,5,0.0768120769409,31,1,0.856807511737,0.887323943662,0.890258215962,0.746870109546,0.678990610329,0.581572769953,81.4397496088,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_B45A689B8B58,21,GENE_50066B6F31D9,NUM::TAXA_ALVO_MIN_DIA_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,171,657,68,103,196,461,20.652173913,39.7660818713,31.884057971,1.24720893142,0.0162780928376,1.13085690165,0.903116172157,0.00522618581888,0.00522618581888,1.55280364573,0.0164360239722,6.16473219827,0.01303221013,0.0862863183933,39.8843930636,32.7291725368,47.2611930902,39.683625731,32.1637426901,47.3684210526,3.78163834823,336,0.130365919236,151,0.138818064424,19,8,0.835680751174,0.872848200313,0.8779342723,0.750391236307,0.716549295775,0.582453051643,80.7819835681,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_1115E2771651,22,GENE_D543BEC7E841,NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,174,654,68,106,196,458,21.0144927536,39.0804597701,31.884057971,1.22570532915,0.0151228733459,1.11812961444,0.903116172157,0.00446316929489,0.00446316929489,1.49903735079,0.0278086224657,5.25303490253,0.0219085272997,0.079650769308,39.2045454545,32.1379075251,46.5036207524,39.2344827586,32.183908046,46.5517241379,3.7326406394,84,0.128866501282,427,0.133402884797,2,14,0.829812206573,0.859154929577,0.863262910798,0.760172143975,0.724765258216,0.607687793427,80.5159428795,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_3B9DED90BD74,23,GENE_33246025C92F,NGRAM3::AJUSTE_ESTRUTURA_COMPRA_SUBIU=>AJUSTE_ESTRUTURA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_CAIU,NGRAM3,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,2,826,2,0,262,564,0.24154589372,100,31.884057971,3.13636363636,0.0016453126094,inf,0.903116172157,0.0039923373299,0.0039923373299,inf,0.101396701891,4.28307285934,0.0384936969955,0.0719221336473,75,29.2401773821,99.159624134,100,100,100,0,,,,,,,0.99765258216,0.825508607199,0.796948356808,0.990219092332,0.00704225352113,0.414612676056,80.341842723,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_13C058FEC803,24,GENE_77C3D34602DC,NGRAM2::AJUSTE_ESTRUTURA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_CAIU,NGRAM2,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,2,826,2,0,262,564,0.24154589372,100,31.884057971,3.13636363636,0.0016453126094,inf,0.903116172157,0.0039923373299,0.0039923373299,inf,0.101396701891,4.28307285934,0.0384936969955,0.0719221336473,75,29.2401773821,99.159624134,100,100,100,0,,,,,,,0.99765258216,0.825508607199,0.796948356808,0.990219092332,0.00704225352113,0.414612676056,80.341842723,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_75A5AD439104,25,GENE_9AF736335C71,TRANSICAO::AJUSTE_ESTRUTURA_ESTAVEL=>AJUSTE_ESTRUTURA_VENDA_CAIU,TRANSICAO,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,2,826,2,0,262,564,0.24154589372,100,31.884057971,3.13636363636,0.0016453126094,inf,0.903116172157,0.0039923373299,0.0039923373299,inf,0.101396701891,4.28307285934,0.0384936969955,0.0719221336473,75,29.2401773821,99.159624134,100,100,100,0,,,,,,,0.99765258216,0.825508607199,0.796948356808,0.990219092332,0.00704225352113,0.414612676056,80.341842723,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_5FB8DCCB27D3,26,GENE_AF85DB7DB6EF,NUM::DEGRADACAO_SEGUNDA_MENOS_PRIMEIRA_PP::ACIMA_P90,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,115,713,48,67,216,497,13.8888888889,41.7391304348,31.884057971,1.30909090909,0.0136876006441,1.16915422886,0.903116172157,0.00501060583556,0.00501060583556,1.64842454395,0.0175291008835,5.97222187558,0.0145329580137,0.0849283718916,41.8803418803,33.127163377,50.8965430169,41.8460869565,33.0434782609,50.4347826087,4.56114803182,141,0.114732392646,295,0.113683098341,13,23,0.861502347418,0.869718309859,0.87441314554,0.723787167449,0.663145539906,0.557805164319,80.2518583725,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_3184B96AB0D2,27,GENE_990F176BC888,TRANSICAO::AJUSTE_ESTRUTURA_ACELEROU_NEG=>AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG,TRANSICAO,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,38,790,23,15,241,549,4.58937198068,60.5263157895,31.884057971,1.89832535885,0.0131449975495,1.72560386473,0.903116172157,0.0120340544479,0.0120340544479,3.49294605809,0.000244862169816,15.044542452,0.000105003440077,0.134795167795,60,44.6190568222,74.4332203114,60.3157894737,44.7368421053,76.3157894737,7.89500025903,123,0.0990034569796,181,0.0855630712342,51,77,0.973591549296,0.941901408451,0.943075117371,0.563771517997,0.43955399061,0.384096244131,79.7833528951,FAIXA_EVIDENCIA_ALTA
CGENE_FCE61B1F446A,28,GENE_F0646EC85654,NGRAM2::AJUSTE_ESTRUTURA_ACELEROU_NEG=>AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG,NGRAM2,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,38,790,23,15,241,549,4.58937198068,60.5263157895,31.884057971,1.89832535885,0.0131449975495,1.72560386473,0.903116172157,0.0120340544479,0.0120340544479,3.49294605809,0.000244862169816,15.044542452,0.000105003440077,0.134795167795,60,44.6190568222,74.4332203114,60.4789473684,44.7368421053,76.3157894737,8.10815446088,14,0.0946429865517,290,0.0908253078971,8,120,0.973591549296,0.941901408451,0.943075117371,0.558685446009,0.43955399061,0.384096244131,79.6816314554,FAIXA_EVIDENCIA_ALTA
CGENE_F898EDD49729,29,GENE_DC19B68DC42F,POS_003::CONFIRMACOES_CANDIDATA_ACELEROU_POS,POS_003,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,47,781,25,22,239,542,5.67632850242,53.1914893617,31.884057971,1.66827852998,0.0120947980116,1.45520421607,0.903116172157,0.00843208684027,0.00843208684027,2.57702548498,0.00197360695063,10.4163844599,0.00124902183986,0.112161376902,53.0612244898,39.1721997599,66.7133663786,53.3936170213,38.2978723404,68.085106383,7.4929806831,40,0.0965480869622,285,0.0900593504875,28,131,0.958920187793,0.919405320814,0.921948356808,0.575117370892,0.485328638498,0.360915492958,79.1451486698,FAIXA_EVIDENCIA_ALTA
CGENE_4F0D6CD7BCE9,30,GENE_BFA8521B0DB6,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,771,57,233,538,31,26,93.115942029,30.2204928664,31.884057971,0.947824548992,-0.0154904431842,0.976159689672,0.903116172157,0.0115416489222,0.0115416489222,0.363233001559,0.000323832756142,14.2714173161,0.000158249746028,-0.131285990309,30.2716688228,27.0844838545,33.5555464267,30.1826199741,26.9779507134,33.4630350195,1.64555459483,192,0.195940853765,586,0.213947974457,,,0.495305164319,0.935837245696,0.93720657277,0.87558685446,0.924882629108,0.858274647887,78.6859350548,FAIXA_EVIDENCIA_ALTA
CGENE_B60C4F1FDCEE,31,GENE_D38375AE4689,TRANSICAO::AJUSTE_ESTRUTURA_SUBIU=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,TRANSICAO,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,64,764,30,34,234,530,7.72946859903,46.875,31.884057971,1.47017045455,0.0115872015683,1.28218243819,0.903116172157,0.00590591302978,0.00590591302978,1.99849170437,0.011339278672,7.17715696426,0.00738376210685,0.0931024380266,46.9696969697,35.1459680761,58.9674925983,46.9296875,34.375,59.375,6.18193966317,54,0.129797521344,303,0.109195805427,36,122,0.917253521127,0.886737089202,0.887910798122,0.620500782473,0.546948356808,0.392312206573,78.4120696401,FAIXA_EVIDENCIA_ALTA
CGENE_55F1FFD95491,32,GENE_BC1C60CBD2B6,NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,807,21,261,546,3,18,97.4637681159,32.3420074349,31.884057971,1.01436296046,0.00446334803613,1.00676859373,0.903116172157,0.00307857678439,0.00307857678439,2.86813186813,0.0974930921825,3.07253847157,0.0796250472841,0.0609162971258,32.3856613103,29.2053821025,35.6484315832,32.3925650558,29.1201982652,35.4399008674,1.63639130003,216,0.195800409839,571,0.21566834341,,,0.653755868545,0.764866979656,0.763497652582,0.923317683881,0.927230046948,0.860622065728,78.4042449139,FAIXA_EVIDENCIA_ALTA
CGENE_DBCE96EA0B3D,33,GENE_137BB307D082,NGRAM2::AJUSTE_ESTRUTURA_SUBIU=>AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,NGRAM2,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,64,764,30,34,234,530,7.72946859903,46.875,31.884057971,1.47017045455,0.0115872015683,1.28218243819,0.903116172157,0.00590591302978,0.00590591302978,1.99849170437,0.011339278672,7.17715696426,0.00738376210685,0.0931024380266,46.9696969697,35.1459680761,58.9674925983,46.971875,34.375,59.375,6.32852247219,335,0.111778669005,22,0.120433685462,147,11,0.917253521127,0.886737089202,0.887910798122,0.613458528951,0.546948356808,0.392312206573,78.2712245696,FAIXA_EVIDENCIA_ALTA
CGENE_D4F2191C7597,34,GENE_2669D41CCAD9,POS_000::AJUSTE_ESTRUTURA_ACELEROU_NEG,POS_000,sequence,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,173,655,66,107,198,457,20.8937198068,38.1502890173,31.884057971,1.19653179191,0.0130924875726,1.10131382907,0.903116172157,0.00336852834102,0.00336852834102,1.42367601246,0.0539565643781,3.95389917581,0.0467628946283,0.0691031153458,38.2857142857,31.2408162584,45.5842707112,38.0283236994,31.2138728324,45.0867052023,3.63721511338,433,0.143844732409,67,0.148665541893,20,3,0.81103286385,0.805555555556,0.81161971831,0.766431924883,0.720657276995,0.596537558685,78.1342918623,FAIXA_EVIDENCIA_ALTA
CGENE_7365C3765A47,35,GENE_FCB5DD6E2EE7,NUM::TAXA_ALVO_MIN_DIA_PCT::POSITIVO,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,751,77,227,524,37,40,90.7004830918,30.2263648469,31.884057971,0.948008715652,-0.0150353567178,0.976241840912,0.903116172157,0.00839395220241,0.00839395220241,0.468330926346,0.00196159298392,10.2179897693,0.00139077355468,-0.111088106268,30.2788844622,27.050144563,33.6068489059,30.2440745672,27.0306258322,33.4221038615,1.67142544649,10,0.191857571222,761,0.209699068448,,,0.496478873239,0.917840375587,0.921361502347,0.873630672926,0.922535211268,0.856514084507,78.0521322379,FAIXA_EVIDENCIA_ALTA
CGENE_52F2832EFEF7,36,GENE_7CC4554F706E,NUM::SCORE_ESTABILIDADE::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,182,646,69,113,195,451,21.9806763285,37.9120879121,31.884057971,1.18906093906,0.0132500175033,1.09708862383,0.903116172157,0.00332950777465,0.00332950777465,1.41225323349,0.0583925263769,3.90299190961,0.0482001976327,0.068656815721,38.0434782609,31.1795579143,45.1536353563,37.9203296703,30.7692307692,45.0549450549,3.61110542746,279,0.132450067231,270,0.134431192702,6,6,0.807511737089,0.793818466354,0.807511737089,0.763302034429,0.734741784038,0.629694835681,77.9763302034,FAIXA_EVIDENCIA_ALTA
