gene_id,gene_key,family,source_plugin,dna_count,nucleus_count,mean_gene_score,mean_reconstruction_score,max_reconstruction_score,nucleus_ratio,global_role
GENE_047FF08CDB13,NUM::ULTIMA_POSICAO::ATE_P75,NUM,numeric,1,0,61.57521518,88.2006782054,88.2006782054,0,GENE_SUPORTE_RECORRENTE
GENE_FFE891D4E357,NUM::PRIMEIRA_POSICAO::ATE_P75,NUM,numeric,1,0,61.3717723005,88.1752478454,88.1752478454,0,GENE_SUPORTE_RECORRENTE
GENE_EF4DDC050120,NUM::TAXA_PRIMEIRA_METADE_PCT::POSITIVO,NUM,numeric,10,0,65.8406690141,88.1720373343,90.1944106696,0,GENE_SUPORTE_RECORRENTE
GENE_AB159EA2F46C,NUM::SCORE_DESCOBERTA_16E::ATE_P75,NUM,numeric,1,0,70.8690336463,88.1466243682,88.1466243682,0,GENE_SUPORTE_RECORRENTE
GENE_D15D29FD672C,NUM::COBERTURA_HISTORIA_MEDIANA_PCT::ATE_P75,NUM,numeric,1,0,65.1178599374,88.1346303347,88.1346303347,0,GENE_SUPORTE_RECORRENTE
GENE_3B9A74376FCF,NUM::SCORE_ESTABILIDADE::POSITIVO,NUM,numeric,10,0,65.6978677621,88.1180980654,90.0603559297,0,GENE_SUPORTE_RECORRENTE
GENE_964096AFA873,NUM::DEGRADACAO_SEGUNDA_MENOS_PRIMEIRA_PP::ATE_P90,NUM,numeric,3,0,64.6429968701,87.9660171648,88.9130627343,0,GENE_SUPORTE_RECORRENTE
GENE_E16FF15020F4,NUM::ULTIMA_POSICAO::ATE_P50,NUM,numeric,1,0,69.0977112676,87.9252090708,87.9252090708,0,GENE_SUPORTE_RECORRENTE
GENE_61E0FB96AA29,NUM::PRIMEIRA_POSICAO::ATE_P50,NUM,numeric,1,0,69.0585876369,87.920318617,87.920318617,0,GENE_SUPORTE_RECORRENTE
GENE_F31FC21F36B7,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P90,NUM,numeric,1,0,66.9371087637,87.8968776045,87.8968776045,0,GENE_SUPORTE_RECORRENTE
GENE_BCDF2D64DE2A,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P75,NUM,numeric,1,0,69.4067879499,87.8610514463,87.8610514463,0,GENE_SUPORTE_RECORRENTE
GENE_5E29A0A6E5E1,NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25,NUM,numeric,13,13,83.9749608764,87.742327656,91.6958032356,1,GENE_NUCLEO_RECORRENTE
GENE_BE143A021D5F,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P90,NUM,numeric,1,0,65.524256651,87.6158345153,87.6158345153,0,GENE_SUPORTE_RECORRENTE
GENE_87A67BC88338,NUM::DEGRADACAO_SEGUNDA_MENOS_PRIMEIRA_PP::POSITIVO,NUM,numeric,5,0,63.1890649452,87.5621672039,89.0661405961,0,GENE_SUPORTE_RECORRENTE
GENE_E16C27552409,NUM::DIAS_ATIVOS_Y::ATE_P25,NUM,numeric,9,0,62.5640649452,87.541512956,89.5502750315,0,GENE_SUPORTE_RECORRENTE
GENE_533B4E5C3716,NUM::DIAS_ATIVOS_X::ATE_P25,NUM,numeric,9,0,62.3527973396,87.5151045053,89.5238665808,0,GENE_SUPORTE_RECORRENTE
GENE_1B320D324990,NUM::CV_TAXA_ALVO_DIARIA::ATE_P75,NUM,numeric,3,0,62.2980242567,87.5102196908,88.1581541035,0,GENE_SUPORTE_RECORRENTE
GENE_06F6DD284AA5,NUM::DIAS_AVALIADOS::ATE_P25,NUM,numeric,9,0,62.1219679186,87.4862508277,89.4950129032,0,GENE_SUPORTE_RECORRENTE
GENE_5E5104B74BCA,NUM::CONCENTRACAO_MELHOR_DIA_PCT::ATE_P90,NUM,numeric,1,0,64.0952660407,87.2534957743,87.2534957743,0,GENE_SUPORTE_RECORRENTE
GENE_6D70B1A68E13,NUM::COBERTURA_HISTORIA_MEDIA_PCT::ATE_P75,NUM,numeric,4,0,60.6142410016,86.824036247,88.021957233,0,GENE_SUPORTE_RECORRENTE
GENE_B4D9F6178DBC,NUM::TAXA_ALVO_MIN_DIA_PCT::ZERO,NUM,numeric,8,8,84.7623239437,86.552551043,91.4680883979,1,GENE_NUCLEO_RECORRENTE
GENE_DC92FC7FA70C,NUM::TAXA_ALVO_MIN_DIA_PCT::ATE_P10,NUM,numeric,8,8,84.6840766823,86.5427701353,91.4583074903,1,GENE_NUCLEO_RECORRENTE
GENE_6C9F414E9614,NUM::MAX_DRAWDOWN_R::ATE_P25,NUM,numeric,2,0,59.5231807512,86.3175217513,86.3331712036,0,GENE_SUPORTE_RECORRENTE
GENE_E93B98B1FCDD,NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM,numeric,23,23,86.1375195618,85.8462283939,92.5700978953,1,GENE_NUCLEO_RECORRENTE
GENE_2666EA8D7159,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::POSITIVO,NUM,numeric,18,6,62.7635954617,80.0179317891,89.7958907241,0.333333333333,GENE_MISTO
GENE_685DB6CC2BF3,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::POSITIVO,NUM,numeric,18,0,61.0607394366,79.9196460016,89.5839223426,0,GENE_SUPORTE_RECORRENTE
GENE_1464D5165355,NUM::TAXA_ALVO_MAX_DIA_PCT::POSITIVO,NUM,numeric,17,6,63.0609350548,79.6750531267,89.8330581733,0.352941176471,GENE_MISTO
GENE_A57459357BCD,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM,numeric,22,22,86.4803403756,79.6582088138,92.4494496488,1,GENE_NUCLEO_RECORRENTE
GENE_941F584722E4,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::POSITIVO,NUM,numeric,16,0,60.4523669797,78.9277746771,89.5078757855,0,GENE_SUPORTE_RECORRENTE
GENE_FF7A9C9785CD,NUM::DIAS_ACIMA_50_PCT::POSITIVO,NUM,numeric,16,0,60.1863262911,78.8986764768,89.4746206995,0,GENE_SUPORTE_RECORRENTE
GENE_41746574A9A1,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P10,NUM,numeric,5,5,83.8028169014,78.218344502,90.5790299801,1,GENE_NUCLEO_RECORRENTE
GENE_4F06674D2393,NUM::MAX_DRAWDOWN_R::ATE_P10,NUM,numeric,159,159,90.9189162754,76.9465902762,92.6432896483,1,GENE_NUCLEO_RECORRENTE
GENE_F062C1E0D022,NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM,numeric,116,116,88.8179773083,75.6768504953,92.0130038852,1,GENE_NUCLEO_RECORRENTE
GENE_2088C9F7870C,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10,NUM,numeric,113,113,88.73728482,74.8735411771,92.6432896483,1,GENE_NUCLEO_RECORRENTE
GENE_A97E3DDC5077,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM,numeric,92,92,87.7083333333,74.1225830885,92.0977853507,1,GENE_NUCLEO_RECORRENTE
GENE_2669D41CCAD9,POS_000::AJUSTE_ESTRUTURA_ACELEROU_NEG,POS_000,sequence,3,3,78.1342918623,73.916331996,74.1349214132,1,GENE_NUCLEO_RECORRENTE
GENE_2A1190BA3281,FAIXA_POS_00::AJUSTE_ESTRUTURA_ACELEROU_NEG,FAIXA_POS_00,sequence,3,3,77.9034624413,73.8874783183,74.1060677356,1,GENE_NUCLEO_RECORRENTE
GENE_A2ADB54C8C4A,TOKEN::AJUSTE_ESTRUTURA_ACELEROU_NEG,TOKEN,sequence,3,3,77.7626173709,73.8698726845,74.0884621018,1,GENE_NUCLEO_RECORRENTE
GENE_C62E084D2D54,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM,numeric,97,97,87.457942097,73.7268488631,92.1311758882,1,GENE_NUCLEO_RECORRENTE
GENE_D65657853B58,POS_001::AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,POS_001,sequence,1,1,75.7961658842,73.7231978499,73.7231978499,1,GENE_NUCLEO_RECORRENTE
GENE_6CC330E32ED1,COMPRIMENTO_SEQ_3,COMPRIMENTO_SEQ_3,sequence,3,0,70.9272300469,73.5924212102,74.878074078,0,GENE_SUPORTE_RECORRENTE
GENE_9C1287D2EBBC,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM,numeric,98,98,86.5703247261,73.3381118783,91.7466112954,1,GENE_NUCLEO_RECORRENTE
GENE_E7BBFB88C46C,TOKEN::AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,TOKEN,sequence,4,1,70.0224960876,73.2382483366,74.4812573418,0.25,GENE_SUPORTE_RECORRENTE
GENE_1607707786DD,NUM::DIAS_ACIMA_58_PCT::ATE_P10,NUM,numeric,90,90,86.4964788732,72.980539252,91.5671195471,1,GENE_NUCLEO_RECORRENTE
GENE_412E6AF6D530,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10,NUM,numeric,87,87,85.6318466354,72.5534514815,91.0537985908,1,GENE_NUCLEO_RECORRENTE
GENE_8785675A8889,TEMPO::DIA_SEMANA::1,TEMPO,temporal,1,0,63.4560837246,72.3714782484,72.3714782484,0,GENE_SUPORTE_RECORRENTE
GENE_D7CB98E5610E,TEMPO::DATA::2026-07-28,TEMPO,temporal,1,0,63.4560837246,72.3714782484,72.3714782484,0,GENE_SUPORTE_RECORRENTE
GENE_BD0CBFEEE0B2,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM,numeric,82,82,86.7928403756,71.5767778442,90.9262806171,1,GENE_NUCLEO_RECORRENTE
GENE_06BC096ADF16,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10,NUM,numeric,72,72,86.3561228482,70.8775458513,91.7554362928,1,GENE_NUCLEO_RECORRENTE
GENE_4198BB471C6A,NUM::MAX_DRAWDOWN_R::POSITIVO,NUM,numeric,45,44,71.8754890454,67.4147112346,90.9378422626,0.977777777778,GENE_NUCLEO_RECORRENTE
GENE_3CAC3B45F3BF,NUM::HORA::POSITIVO,NUM,numeric,74,0,60.8895735524,66.1541078178,89.5290192036,0,GENE_SUPORTE_RECORRENTE
GENE_5213E4434023,GENE_5213E4434023,DESCONHECIDA,,1,0,0,65.3526081995,65.3526081995,0,GENE_SUPORTE_RECORRENTE
GENE_B3324331739A,GENE_B3324331739A,DESCONHECIDA,,1,0,0,65.3526081995,65.3526081995,0,GENE_SUPORTE_RECORRENTE
GENE_7BACC808D0C3,GENE_7BACC808D0C3,DESCONHECIDA,,1,0,0,65.0942130779,65.0942130779,0,GENE_SUPORTE_RECORRENTE
GENE_D64503B37A5A,GENE_D64503B37A5A,DESCONHECIDA,,3,0,0,64.9756766319,65.9017625417,0,GENE_SUPORTE_RECORRENTE
GENE_D643D98CFA49,GENE_D643D98CFA49,DESCONHECIDA,,3,0,0,64.8187993831,65.4094578391,0,GENE_SUPORTE_RECORRENTE
GENE_322BAD657E89,GENE_322BAD657E89,DESCONHECIDA,,1,0,0,64.7542973004,64.7542973004,0,GENE_SUPORTE_RECORRENTE
GENE_6554CCEEB923,GENE_6554CCEEB923,DESCONHECIDA,,1,0,0,64.7542973004,64.7542973004,0,GENE_SUPORTE_RECORRENTE
GENE_2CF49D63F20F,GENE_2CF49D63F20F,DESCONHECIDA,,4,0,0,64.5572715076,65.9055384917,0,GENE_SUPORTE_RECORRENTE
GENE_1D89FC3CC129,GENE_1D89FC3CC129,DESCONHECIDA,,8,0,0,64.5394071249,65.8942189466,0,GENE_SUPORTE_RECORRENTE
GENE_673A136676AF,GENE_673A136676AF,DESCONHECIDA,,8,0,0,64.5394071249,65.8942189466,0,GENE_SUPORTE_RECORRENTE
GENE_B750F2785EAD,GENE_B750F2785EAD,DESCONHECIDA,,8,0,0,64.5394071249,65.8942189466,0,GENE_SUPORTE_RECORRENTE
GENE_C6369F6815E0,GENE_C6369F6815E0,DESCONHECIDA,,8,0,0,64.5394071249,65.8942189466,0,GENE_SUPORTE_RECORRENTE
GENE_2BDD5459ACC8,GENE_2BDD5459ACC8,DESCONHECIDA,,1,0,0,64.5322941423,64.5322941423,0,GENE_SUPORTE_RECORRENTE
GENE_70377C78EE22,GENE_70377C78EE22,DESCONHECIDA,,1,0,0,64.4750223381,64.4750223381,0,GENE_SUPORTE_RECORRENTE
GENE_72B7FA2E6457,GENE_72B7FA2E6457,DESCONHECIDA,,2,0,0,64.4713024181,65.0565587733,0,GENE_SUPORTE_RECORRENTE
GENE_BCBBBDE41D36,GENE_BCBBBDE41D36,DESCONHECIDA,,2,0,0,64.4713024181,65.0565587733,0,GENE_SUPORTE_RECORRENTE
GENE_9FA0F247564E,GENE_9FA0F247564E,DESCONHECIDA,,8,0,0,64.4569765514,66.5614935302,0,GENE_SUPORTE_RECORRENTE
GENE_7423F7F66BE4,GENE_7423F7F66BE4,DESCONHECIDA,,1,0,0,64.452979815,64.452979815,0,GENE_SUPORTE_RECORRENTE
GENE_2A3FDB597832,GENE_2A3FDB597832,DESCONHECIDA,,1,0,0,64.4512357911,64.4512357911,0,GENE_SUPORTE_RECORRENTE
GENE_14A318668676,GENE_14A318668676,DESCONHECIDA,,6,0,0,64.4119797888,65.8326881256,0,GENE_SUPORTE_RECORRENTE
GENE_5E8BE3053CA4,GENE_5E8BE3053CA4,DESCONHECIDA,,6,0,0,64.4119797888,65.8326881256,0,GENE_SUPORTE_RECORRENTE
GENE_3EAF7A429E24,GENE_3EAF7A429E24,DESCONHECIDA,,3,0,0,64.3951514062,65.4133389842,0,GENE_SUPORTE_RECORRENTE
GENE_243ADB70C646,GENE_243ADB70C646,DESCONHECIDA,,3,0,0,64.3427731589,64.9107306997,0,GENE_SUPORTE_RECORRENTE
GENE_42D2E1018A10,GENE_42D2E1018A10,DESCONHECIDA,,1,0,0,64.2757177884,64.2757177884,0,GENE_SUPORTE_RECORRENTE
GENE_4AA9940AE03D,GENE_4AA9940AE03D,DESCONHECIDA,,1,0,0,64.2757177884,64.2757177884,0,GENE_SUPORTE_RECORRENTE
GENE_7644D0FBA049,GENE_7644D0FBA049,DESCONHECIDA,,1,0,0,64.2757177884,64.2757177884,0,GENE_SUPORTE_RECORRENTE
GENE_BF959F51F2CC,GENE_BF959F51F2CC,DESCONHECIDA,,8,0,0,64.2619987872,66.0323179496,0,GENE_SUPORTE_RECORRENTE
GENE_B9FE857AF2FD,GENE_B9FE857AF2FD,DESCONHECIDA,,7,0,0,64.20379084,65.7576757236,0,GENE_SUPORTE_RECORRENTE
GENE_3541726C5B8E,GENE_3541726C5B8E,DESCONHECIDA,,4,0,0,64.1645964712,65.4030215608,0,GENE_SUPORTE_RECORRENTE
GENE_A9E656B9D039,GENE_A9E656B9D039,DESCONHECIDA,,4,0,0,64.1645964712,65.4030215608,0,GENE_SUPORTE_RECORRENTE
GENE_0C4222826F2B,GENE_0C4222826F2B,DESCONHECIDA,,1,0,0,64.1280847886,64.1280847886,0,GENE_SUPORTE_RECORRENTE
GENE_0B7A2D242E2C,GENE_0B7A2D242E2C,DESCONHECIDA,,15,0,0,62.5619783164,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_BC1C60CBD2B6,NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO,NUM,numeric,181,181,78.4042449139,60.0110656738,91.5969081641,1,GENE_NUCLEO_RECORRENTE
GENE_D849FDF0A923,GENE_D849FDF0A923,DESCONHECIDA,,35,0,0,58.1242957637,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_6C2EEC3CDEEE,GENE_6C2EEC3CDEEE,DESCONHECIDA,,36,0,0,58.0327473251,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_18BF3F5C97E0,GENE_18BF3F5C97E0,DESCONHECIDA,,37,0,0,57.9461474507,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_C2B6AA9300BD,GENE_C2B6AA9300BD,DESCONHECIDA,,42,0,0,57.7828713078,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_92D9825D8693,GENE_92D9825D8693,DESCONHECIDA,,43,0,0,57.714166207,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_276A34905D7D,GENE_276A34905D7D,DESCONHECIDA,,40,0,0,57.71232779,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_929A1CEC5902,GENE_929A1CEC5902,DESCONHECIDA,,38,0,0,57.706483778,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_69DAB69CABB1,GENE_69DAB69CABB1,DESCONHECIDA,,41,0,0,57.6419917945,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_BAEE17666C06,GENE_BAEE17666C06,DESCONHECIDA,,41,0,0,57.6419917945,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_9A65B167E88D,GENE_9A65B167E88D,DESCONHECIDA,,39,0,0,57.6326906548,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_4A231073E368,GENE_4A231073E368,DESCONHECIDA,,43,0,0,57.5111341284,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_D458F8F86E0D,GENE_D458F8F86E0D,DESCONHECIDA,,43,0,0,57.5111341284,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_1B7B64EFC091,GENE_1B7B64EFC091,DESCONHECIDA,,41,0,0,57.4959034021,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_39C0D2FA8D0F,GENE_39C0D2FA8D0F,DESCONHECIDA,,47,0,0,57.468582017,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_8DF207020BCE,GENE_8DF207020BCE,DESCONHECIDA,,45,0,0,57.4528139281,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_2224BF0E6480,GENE_2224BF0E6480,DESCONHECIDA,,44,0,0,57.4501663522,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_375C727503E6,GENE_375C727503E6,DESCONHECIDA,,44,0,0,57.4501663522,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_528B08C898F3,GENE_528B08C898F3,DESCONHECIDA,,44,0,0,57.4501663522,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_3EBC37E5543F,GENE_3EBC37E5543F,DESCONHECIDA,,42,0,0,57.4323950348,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_B0AD99872F63,GENE_B0AD99872F63,DESCONHECIDA,,42,0,0,57.4323950348,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_C8659A968DF1,GENE_C8659A968DF1,DESCONHECIDA,,42,0,0,57.4323950348,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_F9E633166998,GENE_F9E633166998,DESCONHECIDA,,46,0,0,57.3957647552,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_4A0FB2BB16B7,GENE_4A0FB2BB16B7,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_67B04509C20C,GENE_67B04509C20C,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_7093592BE550,GENE_7093592BE550,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_7F3DEF113C57,GENE_7F3DEF113C57,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_A46719CEF957,GENE_A46719CEF957,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_B81B8E3617B1,GENE_B81B8E3617B1,DESCONHECIDA,,45,0,0,57.3919082549,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_76AB2074B639,GENE_76AB2074B639,DESCONHECIDA,,43,0,0,57.371840545,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_1B37942BEB41,GENE_1B37942BEB41,DESCONHECIDA,,47,0,0,57.3411432067,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_9BAFBDF14400,GENE_9BAFBDF14400,DESCONHECIDA,,46,0,0,57.3361831184,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_DC7ACBC144F9,GENE_DC7ACBC144F9,DESCONHECIDA,,46,0,0,57.3361831184,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_F206ABCF3D62,GENE_F206ABCF3D62,DESCONHECIDA,,46,0,0,57.3361831184,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_B5B05E989AB1,GENE_B5B05E989AB1,DESCONHECIDA,,44,0,0,57.314038532,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_035C4B2B0FFF,GENE_035C4B2B0FFF,DESCONHECIDA,,50,0,0,57.3101802145,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_1BD5018BF085,GENE_1BD5018BF085,DESCONHECIDA,,48,0,0,57.288797556,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_14882DFD3B6D,GENE_14882DFD3B6D,DESCONHECIDA,,47,0,0,57.2828292642,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_7B6541847FC0,GENE_7B6541847FC0,DESCONHECIDA,,47,0,0,57.2828292642,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_A0AD854DCA9C,GENE_A0AD854DCA9C,DESCONHECIDA,,47,0,0,57.2828292642,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_EFF8628D99DA,GENE_EFF8628D99DA,DESCONHECIDA,,47,0,0,57.2828292642,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_3B3714C087ED,GENE_3B3714C087ED,DESCONHECIDA,,45,0,0,57.2588054974,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_B72467C5FDE9,GENE_B72467C5FDE9,DESCONHECIDA,,45,0,0,57.2588054974,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_E723E2D3D808,GENE_E723E2D3D808,DESCONHECIDA,,45,0,0,57.2588054974,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_9F81AAC8272C,GENE_9F81AAC8272C,DESCONHECIDA,,48,0,0,57.2316984874,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_F1375B0170A9,GENE_F1375B0170A9,DESCONHECIDA,,46,0,0,57.2059738991,66.9188523141,0,GENE_SUPORTE_RECORRENTE
GENE_61447D78C854,GENE_61447D78C854,DESCONHECIDA,,48,0,0,57.1069146522,66.9188523141,0,GENE_SUPORTE_RECORRENTE
